12,c,switch, L: 100.000000, X: -7571.600000, Y: -1499.000000, TDBegin: 14402.600000,45,
11,c,rail, L: 100.000000, X: -7471.600000, Y: -1499.000000, TDBegin: 14502.600000,45,
10,c,rail, L: 100.000000, X: -7371.600000, Y: -1499.000000, TDBegin: 14602.600000,45,
9,c,station, L: 100.000000, X: -7271.600000, Y: -1499.000000, TDBegin: 14702.600000,45,
8,c,rail, L: 100.000000, X: -7271.600000, Y: -1599.000000, TDBegin: 14802.600000,45,
7,c,rail, L: 100.000000, X: -7271.600000, Y: -1699.000000, TDBegin: 14902.600000,45,
6,b,rail, L: 100.000000, X: -7271.600000, Y: -1799.000000, TDBegin: 15002.600000,45,
5,b,rail, L: 100.000000, X: -7371.600000, Y: -1799.000000, TDBegin: 15102.600000,45,
4,b,rail, L: 100.000000, X: -7471.600000, Y: -1799.000000, TDBegin: 15202.600000,45,
3,a,rail, L: 100.000000, X: -7571.600000, Y: -1799.000000, TDBegin: 15302.600000,45,
2,a,station, L: 100.000000, X: -7571.600000, Y: -1699.000000, TDBegin: 15402.600000,45,
1,a,rail, L: 100.000000, X: -7571.600000, Y: -1599.000000, TDBegin: 15502.600000,45,
13,d,rail, L: 150.000000, X: -7571.600000, Y: -1499.000000, TDBegin: 15602.600000,70,
14,d,rail, L: 150.000000, X: -7721.600000, Y: -1499.000000, TDBegin: 15752.600000,70,
15,d,rail, L: 150.000000, X: -7871.600000, Y: -1499.000000, TDBegin: 15902.600000,70,
16,d,station, L: 150.000000, X: -8021.600000, Y: -1499.000000, TDBegin: 16052.600000,70,
17,e,rail, L: 150.000000, X: -8171.600000, Y: -1499.000000, TDBegin: 16202.600000,60,
18,e,rail, L: 150.000000, X: -8321.600000, Y: -1499.000000, TDBegin: 16352.600000,60,
19,e,crossing, L: 150.000000, X: -8471.600000, Y: -1499.000000, TDBegin: 16502.600000,60,
20,e,rail, L: 150.000000, X: -8471.600000, Y: -1649.000000, TDBegin: 16652.600000,60,
21,f,rail, L: 300.000000, X: -8471.600000, Y: -1799.000000, TDBegin: 16802.600000,70,
22,f,station, L: 300.000000, X: -8471.600000, Y: -2099.000000, TDBegin: 17102.600000,70,
23,f,rail, L: 300.000000, X: -8471.600000, Y: -2399.000000, TDBegin: 17402.600000,70,
24,f,rail, L: 300.000000, X: -8471.600000, Y: -2699.000000, TDBegin: 17702.600000,70,
25,f,rail, L: 200.000000, X: -8471.600000, Y: -2999.000000, TDBegin: 18002.600000,70,
26,f,rail, L: 100.000000, X: -8471.600000, Y: -3199.000000, TDBegin: 18202.600000,70,
27,f,rail, L: 50.000000, X: -8471.600000, Y: -3299.000000, TDBegin: 18302.600000,30,
28,f,rail, L: 50.000000, X: -8471.600000, Y: -3349.000000, TDBegin: 18352.600000,30,
29,g,switch, L: 50.000000, X: -8471.600000, Y: -3399.000000, TDBegin: 18402.600000,30,
30,g,rail, L: 50.000000, X: -8471.600000, Y: -3449.000000, TDBegin: 18452.600000,30,
31,g,station, L: 50.000000, X: -8471.600000, Y: -3499.000000, TDBegin: 18502.600000,30,
32,g,rail, L: 50.000000, X: -8471.600000, Y: -3549.000000, TDBegin: 18552.600000,30,
33,h,rail, L: 50.000000, X: -8471.600000, Y: -3599.000000, TDBegin: 18602.600000,30,
34,h,rail, L: 50.000000, X: -8471.600000, Y: -3649.000000, TDBegin: 18652.600000,30,
35,h,rail, L: 50.000000, X: -8471.600000, Y: -3699.000000, TDBegin: 18702.600000,30,
36,i,underground, L: 50.000000, X: -8421.600000, Y: -3699.000000, TDBegin: 18752.600000,30,
37,i,underground, L: 50.000000, X: -8371.600000, Y: -3699.000000, TDBegin: 18802.600000,30,
38,i,underground, L: 50.000000, X: -8321.600000, Y: -3699.000000, TDBegin: 18852.600000,30,
39,i,station, L: 50.000000, X: -8271.600000, Y: -3699.000000, TDBegin: 18902.600000,30,
40,i,underground, L: 50.000000, X: -8221.600000, Y: -3699.000000, TDBegin: 18952.600000,30,
41,i,underground, L: 50.000000, X: -8171.600000, Y: -3699.000000, TDBegin: 19002.600000,30,
42,i,underground, L: 50.000000, X: -8121.600000, Y: -3699.000000, TDBegin: 19052.600000,30,
43,i,underground, L: 50.000000, X: -8071.600000, Y: -3699.000000, TDBegin: 19102.600000,30,
44,i,underground, L: 50.000000, X: -8021.600000, Y: -3699.000000, TDBegin: 19152.600000,30,
45,i,underground, L: 50.000000, X: -7971.600000, Y: -3699.000000, TDBegin: 19202.600000,30,
46,i,underground, L: 50.000000, X: -7921.600000, Y: -3699.000000, TDBegin: 19252.600000,30,
47,i,underground, L: 50.000000, X: -7871.600000, Y: -3699.000000, TDBegin: 19302.600000,30,
48,i,station, L: 50.000000, X: -7821.600000, Y: -3699.000000, TDBegin: 19352.600000,30,
49,i,underground, L: 50.000000, X: -7771.600000, Y: -3699.000000, TDBegin: 19402.600000,30,
50,i,underground, L: 50.000000, X: -7721.600000, Y: -3699.000000, TDBegin: 19452.600000,30,
51,i,underground, L: 50.000000, X: -7671.600000, Y: -3699.000000, TDBegin: 19502.600000,30,
52,i,underground, L: 50.000000, X: -7621.600000, Y: -3699.000000, TDBegin: 19552.600000,30,
53,i,underground, L: 50.000000, X: -7571.600000, Y: -3699.000000, TDBegin: 19602.600000,30,
54,i,underground, L: 50.000000, X: -7521.600000, Y: -3699.000000, TDBegin: 19652.600000,30,
55,i,underground, L: 50.000000, X: -7471.600000, Y: -3699.000000, TDBegin: 19702.600000,30,
56,i,underground, L: 50.000000, X: -7421.600000, Y: -3699.000000, TDBegin: 19752.600000,30,
57,i,station, L: 50.000000, X: -7371.600000, Y: -3699.000000, TDBegin: 19802.600000,30,
58,j,yard, L: 50.000000, X: -7321.600000, Y: -3699.000000, TDBegin: 19852.600000,30,
